"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 22 13:22:17 GMT 2025","Sun Jun 22 13:22:18 GMT 2025","1383","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:13 GMT 2025","Sun Jun 22 13:22:15 GMT 2025","1878","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:55 GMT 2025","Sun Jun 22 13:22:58 GMT 2025","2695","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Jun 22 13:22:37 GMT 2025","Sun Jun 22 13:22:39 GMT 2025","2700","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Jun 22 13:23:00 GMT 2025","Sun Jun 22 13:23:04 GMT 2025","3835","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Jun 22 13:22:32 GMT 2025","Sun Jun 22 13:22:38 GMT 2025","6099","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Jun 22 13:22:44 GMT 2025","Sun Jun 22 13:22:46 GMT 2025","1446","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Jun 22 13:22:46 GMT 2025","Sun Jun 22 13:22:48 GMT 2025","2277","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Jun 22 13:22:42 GMT 2025","Sun Jun 22 13:22:44 GMT 2025","1559","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Jun 22 13:22:24 GMT 2025","Sun Jun 22 13:22:26 GMT 2025","2203","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:48 GMT 2025","Sun Jun 22 13:22:50 GMT 2025","2308","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Jun 22 13:22:52 GMT 2025","Sun Jun 22 13:22:55 GMT 2025","2824","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Jun 22 13:22:44 GMT 2025","Sun Jun 22 13:22:46 GMT 2025","1518","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Jun 22 13:22:20 GMT 2025","Sun Jun 22 13:22:22 GMT 2025","1856","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:22 GMT 2025","Sun Jun 22 13:22:24 GMT 2025","1531","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:28 GMT 2025","Sun Jun 22 13:22:31 GMT 2025","2993","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Jun 22 13:22:51 GMT 2025","Sun Jun 22 13:22:54 GMT 2025","2765","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Jun 22 13:22:31 GMT 2025","Sun Jun 22 13:22:33 GMT 2025","1421","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Jun 22 13:23:00 GMT 2025","Sun Jun 22 13:23:04 GMT 2025","3880","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Jun 22 13:22:16 GMT 2025","Sun Jun 22 13:22:17 GMT 2025","1200","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:56 GMT 2025","Sun Jun 22 13:22:59 GMT 2025","2940","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Jun 22 13:22:20 GMT 2025","Sun Jun 22 13:22:22 GMT 2025","2117","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:28 GMT 2025","Sun Jun 22 13:22:30 GMT 2025","1934","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:23:05 GMT 2025","Sun Jun 22 13:23:07 GMT 2025","2174","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Jun 22 13:22:17 GMT 2025","Sun Jun 22 13:22:19 GMT 2025","2190","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 13:22:33 GMT 2025","Sun Jun 22 13:22:35 GMT 2025","1793","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Jun 22 13:22:40 GMT 2025","Sun Jun 22 13:22:43 GMT 2025","3440","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Jun 22 13:22:25 GMT 2025","Sun Jun 22 13:22:27 GMT 2025","2150","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Jun 22 13:23:09 GMT 2025","Sun Jun 22 13:23:11 GMT 2025","2044","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Jun 22 13:23:05 GMT 2025","Sun Jun 22 13:23:07 GMT 2025","2104","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
